fight_id,round,name,kd,sig_l,sig_a,sig_p,total_l,total_a,td_l,td_a,td_p,sub,rev,ctrl,head_l,head_a,body_l,body_a,leg_l,leg_a,distance_l,distance_a,clinch_l,clinch_a,ground_l,ground_a
1960,1,Bruno Silva,0,19,26,73%,28,37,0,2,0%,0,0,1:38,18,24,1,2,0,0,0,1,0,1,19,24
1961,1,Matt Brown,0,15,30,50%,15,30,0,0,---,0,0,0:00,8,18,4,8,3,4,15,30,0,0,0,0
1961,1,Dhiego Lima,0,12,32,37%,12,32,0,2,0%,0,0,0:00,2,21,2,2,8,9,11,31,1,1,0,0
1961,2,Matt Brown,1,12,19,63%,15,22,0,0,---,0,0,0:00,4,9,7,9,1,1,7,14,5,5,0,0
1961,2,Dhiego Lima,0,11,22,50%,11,22,0,2,0%,0,0,0:52,6,17,2,2,3,3,11,22,0,0,0,0
1962,1,Aleksa Camur,0,39,66,59%,44,71,0,0,---,0,0,0:00,29,53,9,12,1,1,34,60,5,6,0,0
1962,1,Nicolae Negumereanu,0,29,78,37%,32,81,1,2,50%,0,0,0:46,29,76,0,2,0,0,25,70,4,8,0,0
1962,2,Aleksa Camur,0,32,40,80%,37,46,0,0,---,0,0,0:00,15,23,14,14,3,3,25,31,7,9,0,0
1962,2,Nicolae Negumereanu,0,18,45,40%,29,56,0,2,0%,0,0,2:31,15,41,1,2,2,2,17,44,1,1,0,0
1962,3,Aleksa Camur,0,31,42,73%,37,49,0,2,0%,0,0,0:00,24,34,6,7,1,1,29,40,2,2,0,0
1962,3,Nicolae Negumereanu,0,24,70,34%,38,87,0,1,0%,0,0,1:35,21,65,1,3,2,2,19,64,5,6,0,0
1963,1,Kanako Murata,0,14,21,66%,17,25,0,0,---,0,0,2:19,10,16,4,5,0,0,3,9,3,3,8,9
1963,1,Virna Jandiroba,0,11,26,42%,12,27,0,0,---,1,0,0:46,8,23,3,3,0,0,10,25,1,1,0,0
1963,2,Kanako Murata,0,9,23,39%,9,23,0,1,0%,0,0,0:15,5,17,1,2,3,4,9,23,0,0,0,0
1963,2,Virna Jandiroba,0,25,54,46%,27,56,0,0,---,0,0,0:00,24,50,1,4,0,0,25,52,0,2,0,0
1964,1,Khaos Williams,0,26,83,31%,44,104,0,0,---,0,0,1:21,12,63,3,7,11,13,25,80,1,3,0,0
1964,1,Matthew Semelsberger,0,18,32,56%,20,35,0,0,---,0,0,0:00,11,25,4,4,3,3,18,31,0,1,0,0
1964,2,Khaos Williams,0,29,80,36%,34,85,0,0,---,0,0,0:30,13,59,5,8,11,13,26,77,3,3,0,0
1964,2,Matthew Semelsberger,0,23,41,56%,25,43,0,0,---,0,0,0:02,15,32,2,2,6,7,21,38,2,3,0,0
1964,3,Khaos Williams,0,36,97,37%,36,97,0,0,---,0,0,0:02,19,73,10,16,7,8,36,97,0,0,0,0
1964,3,Matthew Semelsberger,0,23,68,33%,23,68,0,0,---,0,0,0:00,16,59,3,5,4,4,23,68,0,0,0,0
1965,1,Josh Parisian,0,29,59,49%,35,68,0,0,---,0,0,0:08,12,42,13,13,4,4,20,49,9,10,0,0
1965,1,Roque Martinez,0,26,46,56%,84,105,0,0,---,0,0,2:40,21,41,5,5,0,0,13,30,13,16,0,0
1965,2,Josh Parisian,0,28,44,63%,37,54,1,6,16%,0,0,2:22,17,29,9,12,2,3,10,18,18,26,0,0
1965,2,Roque Martinez,0,9,18,50%,82,99,0,0,---,1,0,1:08,5,14,4,4,0,0,5,13,4,5,0,0
1965,3,Josh Parisian,0,22,57,38%,28,64,0,1,0%,0,0,1:53,14,47,7,9,1,1,19,53,3,4,0,0
1965,3,Roque Martinez,0,29,50,58%,79,105,0,0,---,0,0,0:31,22,43,6,6,1,1,21,41,8,9,0,0
1966,1,Joaquim Silva,0,1,2,50%,1,2,0,0,---,0,0,0:00,1,2,0,0,0,0,1,2,0,0,0,0
