fight_id,round,name,kd,sig_l,sig_a,sig_p,total_l,total_a,td_l,td_a,td_p,sub,rev,ctrl,head_l,head_a,body_l,body_a,leg_l,leg_a,distance_l,distance_a,clinch_l,clinch_a,ground_l,ground_a
3783,3,Marcin Held,0,4,13,30%,13,24,1,3,33%,1,0,2:21,3,11,1,2,0,0,4,10,0,1,0,2
3783,3,Nasrat Haqparast,0,6,22,27%,19,38,0,0,---,0,0,0:58,6,21,0,1,0,0,5,20,0,1,1,1
3784,1,Damian Stasiak,0,14,35,40%,16,37,0,3,0%,0,0,0:32,9,28,2,4,3,3,14,35,0,0,0,0
3784,1,Brian Kelleher,0,19,42,45%,30,58,0,0,---,1,0,2:02,10,30,2,4,7,8,10,29,4,5,5,8
3784,2,Damian Stasiak,0,14,37,37%,14,37,1,4,25%,0,0,0:52,6,26,4,7,4,4,14,37,0,0,0,0
3784,2,Brian Kelleher,0,25,54,46%,50,84,0,0,---,0,0,1:20,14,43,4,4,7,7,20,46,4,7,1,1
3784,3,Damian Stasiak,0,15,40,37%,15,40,0,3,0%,0,0,0:21,11,32,2,6,2,2,14,39,1,1,0,0
3784,3,Brian Kelleher,1,35,51,68%,36,52,1,1,100%,0,1,1:11,31,45,1,3,3,3,18,34,0,0,17,17
3785,1,Sam Alvey,0,7,18,38%,18,30,0,0,---,0,0,0:02,5,14,0,0,2,4,3,13,3,4,1,1
3785,1,Ramazan Emeev,0,14,23,60%,18,27,1,2,50%,0,0,1:29,10,19,1,1,3,3,8,15,6,8,0,0
3785,2,Sam Alvey,0,6,22,27%,8,24,0,0,---,0,0,0:00,1,15,0,0,5,7,5,21,1,1,0,0
3785,2,Ramazan Emeev,0,10,24,41%,10,24,0,2,0%,0,0,0:34,7,21,2,2,1,1,8,20,2,4,0,0
3785,3,Sam Alvey,0,16,30,53%,30,45,0,0,---,0,0,0:00,6,16,7,8,3,6,6,18,10,12,0,0
