fight_id,fighter1,fighter2,result,bout,method,round,time,format,ref
4645,Rose Namajunas,Paige VanZant,Rose Namajunas,Women's Strawweight Bout,Submission,5,2:25,5 Rnd (5-5-5-5-5),Herb Dean
4646,Jim Miller,Michael Chiesa,Michael Chiesa,Lightweight Bout,Submission,2,2:57,3 Rnd (5-5-5),Jason Herzog
4647,Sage Northcutt,Cody Pfister,Sage Northcutt,Lightweight Bout,Submission,2,0:41,3 Rnd (5-5-5),Mark Smith
4648,Elias Theodorou,Thiago Santos,Thiago Santos,Middleweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Marc Goddard
4649,Tim Means,John Howard,Tim Means,Welterweight Bout,KO/TKO,2,0:21,3 Rnd (5-5-5),Herb Dean
4650,Omari Akhmedov,Sergio Moraes,Sergio Moraes,Welterweight Bout,KO/TKO,3,2:18,3 Rnd (5-5-5),Jason Herzog
4651,Antonio Carlos Junior,Kevin Casey,NC,Middleweight Bout,Could Not Continue,1,0:11,3 Rnd (5-5-5),Mark Smith
4652,Aljamain Sterling,Johnny Eduardo,Aljamain Sterling,Bantamweight Bout,Submission,2,4:18,3 Rnd (5-5-5),Marc Goddard
4653,Santiago Ponzinibbio,Andreas Stahl,Santiago Ponzinibbio,Welterweight Bout,KO/TKO,1,4:25,3 Rnd (5-5-5),Herb Dean
4654,Danny Roberts,Nathan Coy,Danny Roberts,Welterweight Bout,Submission,1,2:46,3 Rnd (5-5-5),Jason Herzog
